-40	2293249
-35	1610605
-30	1143110
-25	819487
-20	593146
-15	433281
-10	319305
-5	237312
0	177816
5	134287
10	102184
15	78327
20	60467
25	47000
30	36776
35	28962
40	22952
45	18301
50	14679
55	11845
60	9610
65	7839
70	6427
75	5296
80	4384
85	3646
90	3046
95	2555
100	2152
105	1820
110	1546
115	1318
120	1128
125	970
